AVALIADOR,TITULO,NOME_UNIDADE,ID_PROJETO,BOLSAS,COORDENADOR,NOME_DISCIPLINA
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,O Ensino em disciplinas com conte√∫do te√≥rico-pr√°tico em Turismo: desafios para a monitoria,Departamento de Turismo e PatrimÙnio                                                                                                                                                                                                                          ,2022,2,ELOISE SILVEIRA BOTELHO                                                         ,TURISMO E PRODU«√O DE EVENTOS                                                                                                                                                                                                                             
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Rela√ß√µes Internacionais e Sul Global,Departamento de Estudos PolÌticos                                                                                                                                                                                                                             ,2072,2,ENARA ECHART MUN’Z                                                              ,TEORIA DAS RELA«’ES INTERNACIONAIS
BIANCA IZUMI MAEDA                                                              ,Produzindo Conhecimento na Disciplina Semiot√©cnica de Enfermagem I,Departamento de Enfermagem Fundamental                                                                                                                                                                                                                        ,2280,2,EVA MARIA COSTA                                                                 ,SEMIOT…CNICA DE ENFERMAGEM I                                                                                                                                                                                                                              
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Projeto de Monitoria de C√°lculo Diferencial e Integral 1,Departamento de Matem·tica e EstatÌstica                                                                                                                                                                                                                      ,2216,1,FABIO XAVIER PENNA                                                              ,C¡LCULO DIFERENCIAL E INTEGRAL I
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,PROJETO MONITORIA DISCIPLINA DE NUTRI√É‚Ä°√É∆íO CL√É¬çNICA I - ESCOLA DE NUTRI√É‚Ä°√É∆íO 01 VAGA: 01 VAGA PARA O CURSO NOTURNO,Departamento de NutriÁ„o Aplicada                                                                                                                                                                                                                             ,2045,1,FABRICIA JUNQUEIRA DAS NEVES                                                    ,NutriÁ„o ClÌnica I
ARMANDO PINHEIRO NETO                                                           ,"Teoria Pol√≠tica, Forma√ß√£o do Estado no Brasil e Condi√ß√£o Perif√©rica",Departamento de Estudos PolÌticos                                                                                                                                                                                                                             ,1958,2,FABRICIO PEREIRA DA SILVA                                                       ,TEORIA SOCIAL E POLÕTICA BRASILEIRA II
BIANCA IZUMI MAEDA                                                              ,As elei√ß√µes no Brasil contempor√¢neo,Departamento de Estudos PolÌticos                                                                                                                                                                                                                             ,2075,1,FELIPE DE MORAES BORBA                                                          ,TEORIA DO ESTADO MODERNO
BIANCA IZUMI MAEDA                                                              ,Monitoria para a disciplina de Bioestat√≠stica no curso de Nutri√ß√£o,Departamento de Estudos PolÌticos                                                                                                                                                                                                                             ,1859,2,FELIPE RAFAEL RIBEIRO MELO                                                      ,ESTATÕSTICA
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,√É‚Ä∞tica e os cl√É¬°ssicos da pol√É¬≠tica,Departamento de Estudos PolÌticos                                                                                                                                                                                                                             ,2164,1,FERNANDO DANIEL QUINTANA                                                        ,TEORIA POLÕTICA I
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,An√°lise de Sistemas de Informa√ß√£o atrav√©s de Projetos de Aprendizagem,Departamento de Inform·tica Aplicada                                                                                                                                                                                                                          ,1941,2,FLAVIA MARIA SANTORO                                                            ,AN¡LISE DE SISTEMAS                                                                                                                                                                                                                                       
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,DISCENTE E DOCENTE NO ENSINO-APRENDIZAGEM DA HOMEOPATIA,Departamento de Medicina Geral                                                                                                                                                                                                                                ,2347,2,FRANCISCO JOSE DE FREITAS                                                       ,HOMEOPATIA E OUTRAS RACIONALIDADES M…DICAS
BIANCA IZUMI MAEDA                                                              ,Monitoria no Processo de Ensino-Aprendizagem de  T√©cnicas de Programa√ß√£o 1,Departamento de Inform·tica Aplicada                                                                                                                                                                                                                          ,2223,2,GEIZA MARIA HAMAZAKI DA SILVA                                                   ,T…CNICAS DE PROGRAMA«√O I
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Pr√°ticas educativas em alimenta√ß√£o nutri√ß√£o e sa√∫de: a forma√ß√£o de profissionais para a promo√ß√£o da sa√∫de,Departamento de NutriÁ„o em Sa˙de P˙blica                                                                                                                                                                                                                     ,2021,1,GIANE MOLIARI AMARAL SERRA                                                      ,EducaÁ„o Nutricional                                                                                                                                                                                                                                      
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Monitoria de Biof√≠sica para curso de Licenciatura em Ci√™ncias Biol√≥gicas,Departamento de CiÍncias FisiolÛgicas                                                                                                                                                                                                                         ,2301,1,GISELLE PINTO DE FARIAS LOPES                                                   ,BIOFISICA                                                                                                                                                                                                                                                 
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,A vigil√¢ncia em sa√∫de em uma unidade de aten√ß√£o prim√°ria: integra√ß√£o ensino-servi√ßo-comunidade da disciplina Pr√°ticas em Sa√∫de III /Epidemiologia da Escola de Medicina e Cirurgia do Rio de Janeiro/UNIRIO,Departamento de Medicina Geral                                                                                                                                                                                                                                ,2103,2,GLORIA REGINA DA SILVA E S¡                                                     ,PR¡TICAS EM SA⁄DE III
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Fundamentos te√≥ricos e pr√°ticos de Farmacologia para o Curso de Nutri√ß√£o,Departamento de CiÍncias FisiolÛgicas                                                                                                                                                                                                                         ,2287,2,GUILHERME RAPOZEIRO FRAN«A                                                      ,Farmacologia                                                                                                                                                                                                                                              
ARMANDO PINHEIRO NETO                                                           ,As ideologias como motor da pol√≠tica,Departamento de Estudos PolÌticos                                                                                                                                                                                                                             ,2063,2,GUILHERME SIM’ES REIS                                                           ,IDEOLOGIAS POLÕTICAS                                                                                                                                                                                                                                      
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,PROCESSO GERENCIAL DE PROJETO DE MONTAGEM DDAS EXPOSI√É‚Ä°√É‚Ä¢ES CURRICULARES DE 2014 DO CURSO DE MUSEOLOGIA-UNIRIO,Departamento de Estudos e Processos MuseolÛgicos                                                                                                                                                                                                              ,2052,2,HELENA CUNHA DE UZEDA                                                           ,MUSEOLOGIA E COMUNICA«√O IV
Indispon√≠vel,Atividades de Monitoria em Ginecologia,Departamento de Medicina Geral                                                                                                                                                                                                                                ,2311,2,IEDA LUCIA PEREIRA BRAVO                                                        ,MOD-GINECOLOGIA
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Monitoria de Biof√≠sica para o curso de Nutri√ß√£o,Departamento de CiÍncias FisiolÛgicas                                                                                                                                                                                                                         ,2130,2,IVAN COELHO DA FONSECA                                                          ,BIOFISICA                                                                                                                                                                                                                                                 
Elizabeth da Silva Guedes                                                       ,Museologia e Preserva√ß√£o IV,Departamento de Estudos e Processos MuseolÛgicos                                                                                                                                                                                                              ,2365,2,IVAN COELHO DE SA                                                               ,MUSEOLOGIA E PRESERVA«√O IV
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Plasticidade C√™nica e Destina√ß√£o Tur√≠stica: reflex√µes em torno da imagem e do imagin√°rio,Departamento de Turismo e PatrimÙnio                                                                                                                                                                                                                          ,2320,2,IZABEL CRISTINA AUGUSTO DE SOUZA FARIA                                          ,MARKETING TURÕSTICO                                                                                                                                                                                                                                       
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Monitoria em Hist√≥ria das Institui√ß√µes Educacionais: apoio acad√™mico e acolhimento aos alunos(as) de primeiro per√≠odo,Departamento de Fundamentos da EducaÁ„o                                                                                                                                                                                                                       ,2303,2,Jane Santos da Silva                                                            ,HistÛria das InstituiÁıes Escolares                                                                                                                                                                                                                       
BIANCA IZUMI MAEDA                                                              ,"Realidade Constitucional, STF e os Conflitos por Direitos Econ√¥micos e Sociais",Departamento de Direito Positivo                                                                                                                                                                                                                              ,2403,2,JADIR ANUNCIA«√O DE BRITO                                                       ,DIREITO CONSTITUCIONAL III
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Integra√ß√£o do ensino de bioqu√≠mica ao cotidiano da forma√ß√£o profissional na √°rea biom√©dica,Departamento de BioquÌmica                                                                                                                                                                                                                                    ,2350,2,JAIME SILVA DE LIMA                                                             ,BIOQUÕMICA
ALCIDES WAGNER SERPA GUARINO                                                    ,ESTRAT√É‚Ä∞GIA NA CAPACITA√É‚Ä°√É∆íO DO ALUNO (MONITOR) E SUA CONTRIBUI√É‚Ä°√É∆íO EM PARASITOLOGIA NA FORMA√É‚Ä°√É∆íO DOS DISCENTES DO CURSO DE NUTRI√É‚Ä°√É∆íO DA UNIRIO.,Departamento de Microbiologia e Parasitologia                                                                                                                                                                                                                 ,2450,2,JAIRO DIAS BARREIRA                                                             ,Parasitologia
Elizabeth da Silva Guedes                                                       ,Fundamentos √É‚Ä∞ticos do Servi√É¬ßo Social,Departamento de Estudos e Processos ArquivÌsticos                                                                                                                                                                                                             ,2357,2,JANAINA BILATE MARTINS                                                          ,…TICA PROFISSIONAL
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,VOZ E MOVIMENTO,Departamento de InterpretaÁ„o Teatral                                                                                                                                                                                                                         ,2027,1,JANE CELESTE GUBERFAIN                                                          ,T…CNICA E EXPRESS√O VOCAL I - TEV I                                                                                                                                                                                                                       
BIANCA IZUMI MAEDA                                                              ,DESENVOLVIMENTO DE DISPOSITIVOS PEDAG√É‚ÄúGICOS PARA PESQUISA,Departamento de CiÍncias Sociais                                                                                                                                                                                                                              ,2264,1,JAVIER ALEJANDRO LIFSCHITZ                                                      ,INTRODU«√O ¿ SOCIOLOGIA                                                                                                                                                                                                                                   
BIANCA IZUMI MAEDA                                                              ,ESTUDOS DO CORPO C√É≈†NICO: AN√É¬ÅLISE E COMPOSI√É‚Ä°√É∆íO,Departamento de InterpretaÁ„o Teatral                                                                                                                                                                                                                         ,2271,2,Joana Ribeiro da Silva Tavares                                                  ,EXPRESS√O CORPORAL II - ECO II                                                                                                                                                                                                                            
ARMANDO PINHEIRO NETO                                                           ,"Arquivologia e An√°lise Social: Categorias, conceitos e classifica√ß√µes em processos sociais e documentos",Departamento de Estudos e Processos ArquivÌsticos                                                                                                                                                                                                             ,1965,2,JOAO MARCUS FIGUEIREDO ASSIS                                                    ,CONSTRU«√O DO PENSAMENTO ARQUIVÕSTICO                                                                                                                                                                                                                     
BIANCA IZUMI MAEDA                                                              ,Praticas em Ensino de F√≠sica,Departamento de Engenharia de ProduÁ„o                                                                                                                                                                                                                        ,1991,2,JO√O ALBERTO MESQUITA PEREIRA                                                   ,FÕSICA II-FLUIDOS E TERMODIN¬MICA
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Dinamizando o ensino de Vegetais Criptog√¢micos,Departamento de Bot‚nica                                                                                                                                                                                                                                      ,2241,2,JOEL CAMPOS DE PAULA                                                            ,VEGETAIS CRIPTOG¬MICOS                                                                                                                                                                                                                                    
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,MONITORIA EM BIOLOGIA MOLECULAR PARA LICENCIATURA,Departamento de GenÈtica e Biologia Molecular                                                                                                                                                                                                                 ,2211,2,JOELMA FREIRE DE MESQUITA                                                       ,BIOLOGIA MOLECULAR                                                                                                                                                                                                                                        
BIANCA IZUMI MAEDA                                                              ,"PROPED√É≈†UTICA M√É‚Ä∞DICA,  O ALICERCE DA MEDICINA /2015- Cl√É¬≠nica M√É¬©dica  B  ( 10a Enfermaria)",Departamento de Medicina Geral                                                                                                                                                                                                                                ,2200,2,JORGE FRANCISCO DA CUNHA PINTO                                                  ,MOD-SEMIOLOGIA E PROPED UTICA DO ADULTO I
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Monitoria de Biof√≠sica para o Curso de Biomedicina,Departamento de CiÍncias FisiolÛgicas                                                                                                                                                                                                                         ,2131,2,JORGE SAAD NEHME                                                                ,BIOFISICA                                                                                                                                                                                                                                                 
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,"Imagens, palavras e ideias se entrecruzam: as ferramentas de comunica√ß√£o e divulga√ß√£o dos museus",Departamento de Estudos e Processos MuseolÛgicos                                                                                                                                                                                                              ,2210,2,JULIA NOLASCO LEITAO DE MOARES                                                  ,MUSEOLOGIA E COMUNICA«√O II
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Monitoria para alunos do curso de gradua√ß√£o em nutri√ß√£o: desenvolvimento da capacidade t√©cnico-cient√≠fica e contribui√ß√£o para o aproveitamento acad√™mico,Departamento de Tecnologia dos Alimentos                                                                                                                                                                                                                      ,2007,1,JULIANA CORTES NUNES DA FONSECA                                                 ,Higiene dos Alimentos
BIANCA IZUMI MAEDA                                                              ,CORAL OFICINA UNIRIO,Departamento de Piano e Instrumentos de Corda                                                                                                                                                                                                                 ,1894,1,JULIO CESAR MORETZSOHN ROCHA                                                    ,M⁄SICA DE C¬MARA I                                                                                                                                                                                                                                        
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,"√¢‚Ç¨≈ìEstrutura√É¬ß√É¬£o do projeto cient√É¬≠fico com aquisi√É¬ß√É¬£o, no levantamento bibliogr√É¬°fico, de conhecimento, reflexivo e cr√É¬≠tico√¢‚Ç¨¬ù.",Departamento de Microbiologia e Parasitologia                                                                                                                                                                                                                 ,2194,2,JURANDY SUSANA PATRICIA MORALES OCAMPO                                          ,PATOLOGIA GERAL                                                                                                                                                                                                                                           
BIANCA IZUMI MAEDA                                                              ,Monitoria de Semiologia com √™nfase no Exame Neurol√≥gico,Departamento de Medicina Geral                                                                                                                                                                                                                                ,2398,2,Karina Lebeis Pires                                                             ,MOD-SEMIOLOGIA E PROPED UTICA DO ADULTO I
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Monitoria em Gen√©tica Aplicada √† Nutri√ß√£o,Departamento de GenÈtica e Biologia Molecular                                                                                                                                                                                                                 ,2336,2,K NIA BALBI EL-JAICK                                                            ,GenÈtica Aplicada ‡ NutriÁ„o
BIANCA IZUMI MAEDA                                                              ,Reposit√≥rio Bibliogr√°fico em Bibliografia e Documenta√ß√£o,Departamento de CiÍncias Sociais                                                                                                                                                                                                                              ,2304,2,LAFFAYETE DE SOUZA ALVARES JUNIOR                                               ,ADMINISTRA«√O I                                                                                                                                                                                                                                           
Indispon√≠vel,A DIVERSIDADE DAS PLANTAS COM FLORES,Departamento de Bot‚nica                                                                                                                                                                                                                                      ,2157,2,LAURA JANE MOREIRA SANTIAGO                                                     ,VEGETAIS FANEROG¬MICOS                                                                                                                                                                                                                                    
BIANCA IZUMI MAEDA                                                              ,Monitoria de Flauta Transversal,Departamento de Canto e Instrumentos de Sopro                                                                                                                                                                                                                 ,2469,2,LAURA TAUSZ RONAI                                                               ,FLAUTA TRANSVERSA II                                                                                                                                                                                                                                      
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Geologia Marinha,Departamento de Ecologia e Recursos Marinhos                                                                                                                                                                                                                  ,2184,2,LAZARO LUIZ MATTOS LAUT                                                         ,BIOGEOGRAFIA APLICADA
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Experimentando Pr√°ticas de Forma√ß√£o Te√≥rico-brincantes,Departamento de Did·tica                                                                                                                                                                                                                                      ,2240,2,LEA VELOCINA VARGAS TIRIBA                                                      ,EducaÁ„o infantil                                                                                                                                                                                                                                         
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Pr√°ticas did√°tico-pedag√≥gicas no universo interdisciplinar da Ci√™ncia da Informa√ß√£o e da Mem√≥ria Social,Departamento de Processos TÈcnico-Documentais                                                                                                                                                                                                                 ,2051,2,LEILA BEATRIZ RIBEIRO                                                           ,INTRODU«√O ¿ CIENCIA DA INFORMA«√O                                                                                                                                                                                                                        
BIANCA IZUMI MAEDA                                                              ,Monitoria de Introdu√ß√£o a Ci√™ncia da Computa√ß√£o para Licenciatura em Matem√°tica,Departamento de Inform·tica Aplicada                                                                                                                                                                                                                          ,2464,1,LEILA CRISTINA VASCONCELOS DE ANDRADE                                           ,INTRODU«¬O A CI NCIA DA COMPUTA«AO
BIANCA IZUMI MAEDA                                                              ,O desenvolvimento da atividade de doc√™ncia na disciplina de Avalia√ß√£o Nutricional do Curso de Nutri√ß√£o Integral,Departamento de NutriÁ„o em Sa˙de P˙blica                                                                                                                                                                                                                     ,1983,1,LEILA SICUPIRA CARNEIRO DE SOUZA LEAO                                           ,AvaliaÁ„o Nutricional
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,A prote√ß√£o dos dados pessoais nas rela√ß√µes obrigacionais,Departamento de Direito Positivo                                                                                                                                                                                                                              ,1937,1,LEONARDO DE ANDRADE MATTIETTO                                                   ,DIREITO CIVIL II- OBRIGA«’ES
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Pedagogia Presencial e Pedagogia a Dist√¢ncia: Aproximando duas Realidades,Departamento de Did·tica                                                                                                                                                                                                                                      ,2386,2,LEONARDO VILLELA DE CASTRO                                                      ,EducaÁ„o a Dist‚ncia                                                                                                                                                                                                                                      
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,METODOLOGIAS POSS√çVEIS: PROCESSO COLABORATIVO EM JOG,Departamento de Ensino de Teatro                                                                                                                                                                                                                              ,2119,1,LILIANE FERREIRA MUNDIM                                                         ,METODOLOGIA DO ENSINO DO TEATRO III
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Capacita√ß√£o de monitores para a disciplina de patologia geral para o curso de nutri√ß√£o,Departamento de Microbiologia e Parasitologia                                                                                                                                                                                                                 ,2309,2,LIO MOREIRA                                                                     ,Patologia Geral                                                                                                                                                                                                                                           
BIANCA IZUMI MAEDA                                                              ,A instrumentalidade do Servi√ßo Social,Departamento de Estudos e Processos ArquivÌsticos                                                                                                                                                                                                             ,1871,1,LOBELIA DA SILVA FACEIRA                                                        ,INSTRUMENTOS E T…CNICAS DE INTERVEN«√O
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,ENSINO DE GEOLOGIA E PALEONTOLOGIA ATRAV√É‚Ä∞S DA UTILIZA√É‚Ä°√É∆íO DE DIVERSAS FORMAS DE EXPRESS√É∆íO ART√É¬çSTICA,Departamento de CiÍncias Naturais                                                                                                                                                                                                                             ,2344,2,Luiza Corral Martins de Oliveira Ponciano                                       ,FUNDAMENTOS DE GEOLOGIA E PALEONTOLOGIA                                                                                                                                                                                                                   
BIANCA IZUMI MAEDA                                                              ,Monitoria da disciplina de Nutri√ß√£o Cl√≠nica Pedi√°trica,Departamento de NutriÁ„o em Sa˙de P˙blica                                                                                                                                                                                                                     ,2273,1,LUCIA GOMES RODRIGUES                                                           ,NutriÁ„o ClÌnica Pedi·trica
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Desenvolvimento de prepara√ß√µes diet√©ticas aplicadas √† dietas para fins especiais,Departamento de NutriÁ„o Fundamental                                                                                                                                                                                                                          ,2154,2,LUCIANA RIBEIRO TRAJANO MANH√ES                                                 ,TÈcnica DietÈtica II
BIANCA IZUMI MAEDA                                                              ,Monitoria na √°rea de Metodologia da Pesquisa: incentivo √† produ√ß√£o acad√™mica durante a forma√ß√£o em Nutri√ß√£o,Departamento de NutriÁ„o Fundamental                                                                                                                                                                                                                          ,2003,2,LUCIANA SILVA FERREIRA                                                          ,Metodologia da Pesquisa II                                                                                                                                                                                                                                
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Estat√≠stica baseada em problemas: Aprendendo a analisar um banco de dados,Departamento de Matem·tica e EstatÌstica                                                                                                                                                                                                                      ,2148,2,LUCIANE DE SOUZA VELASQUE                                                       ,ESTATÕSTICA                                                                                                                                                                                                                                               
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Pr√°ticas em Ecologia nas Ci√™ncias Ambientais e da Natureza,Departamento de Ecologia e Recursos Marinhos                                                                                                                                                                                                                  ,2324,2,LUCIANO NEVES DOS SANTOS                                                        ,ECOLOGIA HUMANA
ALCIDES WAGNER SERPA GUARINO                                                    ,Diet√©tica no Contexto Social,Departamento de NutriÁ„o Fundamental                                                                                                                                                                                                                          ,2449,1,LUCILIA DA GLORIA AFONSO CALDAS                                                 ,TÈcnica DietÈtica I
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Estrutura classificat√≥ria em bases de dados cient√≠ficos no Brasil sobre HIV,Departamento de Estudos e Processos BiblioteconÙmicos                                                                                                                                                                                                         ,2290,2,LUDMILA DOS SANTOS GUIMAR√ES                                                    ,ORGANIZA«√O DO CONHECIMENTO I
ALCIDES WAGNER SERPA GUARINO                                                    ,Ag√™ncias de Turismo: Roteiros e Guias Tur√≠sticos,Departamento de Turismo e PatrimÙnio                                                                                                                                                                                                                          ,2457,2,LUIZ ALEXANDRE LELLIS MEES                                                      ,AG NCIA DE VIAGENS                                                                                                                                                                                                                                        
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Monitoria de Biof√≠sica para o curso de Bacharelado em Ci√™ncias biol√≥gicas,Departamento de CiÍncias FisiolÛgicas                                                                                                                                                                                                                         ,2109,1,LUIZ FERNANDO RODRIGUES J⁄NIOR                                                  ,BIOFISICA                                                                                                                                                                                                                                                 
BIANCA IZUMI MAEDA                                                              ,Monitoria para a disciplina de Estatistica no curso de Biblioteconomia,Departamento de Matem·tica e EstatÌstica                                                                                                                                                                                                                      ,2462,2,LUZIA DA COSTA TONON MARTARELLI                                                 ,ESTATÕSTICA APLICADA ¿S CI NCIAS HUMANAS E SOCIAIS
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Projeto de Ensino de Gradua√ß√£o -Nefrologia -,Departamento de Medicina Geral                                                                                                                                                                                                                                ,2316,2,LYGIA MARIA SOARES FERNANDES VIEIRA                                             ,MOD-NEFROLOGIA
BIANCA IZUMI MAEDA                                                              ,Geriatria e gerontologia - cuidado integral do idoso,Departamento de Medicina Geral                                                                                                                                                                                                                                ,2452,2,Max Kopti Fakoury                                                               ,MOD-GERIATRIA
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,T√≠tulo do projeto: Monitoria de Semiologia 2015 ( Semiologia e Proped√™utica do Adulto),Departamento de Medicina Geral                                                                                                                                                                                                                                ,2137,2,MARCELO COSTA VELHO MENDES DE AZEVEDO                                           ,MOD-SEMIOLOGIA E PROPED UTICA DO ADULTO I
ALCIDES WAGNER SERPA GUARINO                                                    ,Museus Art√≠sticos: Descobrindo e Revelando seus acervos,Departamento de Estudos e Processos MuseolÛgicos                                                                                                                                                                                                              ,2456,2,MARCIA VALERIA TEIXEIRA ROSA                                                    ,MUSEOLOGIA E ARTE BRASILEIRA II
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Outros Lugares sobre o Lugar da Inf√¢ncia,Departamento de Did·tica                                                                                                                                                                                                                                      ,2162,2,MARCIO DA COSTA BERBAT                                                          ,CiÍncias Sociais na EducaÁ„o I                                                                                                                                                                                                                            
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Escrita da Hist√≥ria da Educa√ß√£o por muitas m√£os,Departamento de Fundamentos da EducaÁ„o                                                                                                                                                                                                                       ,2327,2,MARCO AUR…LIO CORR A MARTINS                                                    ,HistÛria das InstituiÁıes Escolares                                                                                                                                                                                                                       
BIANCA IZUMI MAEDA                                                              ,"Turismo e Antropologia Cultural: o encontro com o ""outro""",Departamento de CiÍncias Sociais                                                                                                                                                                                                                              ,2270,2,MARIA AMALIA SILVA ALVES DE OLIVEIRA                                            ,ANTROPOLOGIA CULTURAL
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Psicologia e Educa√ß√£o:novas significa√ß√µes no contexto das licenciaturas,Departamento de Fundamentos da EducaÁ„o                                                                                                                                                                                                                       ,2138,2,MARIA ANGELA MONTEIRO CORREA                                                    ,Psicologia e EducaÁ„o                                                                                                                                                                                                                                     
ALCIDES WAGNER SERPA GUARINO                                                    ,Fundamentos multidisciplinares do turismo,Departamento de Turismo e PatrimÙnio                                                                                                                                                                                                                          ,2468,2,MARIA ANITA BUTHOD                                                              ,"HOSPITALIDADE, MEIOS DE HOSPEDAGEM E TURISMO                                                                                                                                                                                                              "
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Monitoria da disciplina Bioestat√≠stica para os cursos de Biologia e Biomedicina,Departamento de Matem·tica e EstatÌstica                                                                                                                                                                                                                      ,2104,2,MARIA BEATRIZ ASSUN«√O MENDES DA CUNHA                                          ,BIOESTATISTICA                                                                                                                                                                                                                                            
Elizabeth da Silva Guedes                                                       ,O papel do monitor e consequ√™ncias para a sua forma√ß√£o pr√°tica docente em geoci√™ncias (Cursos de Ci√™ncias Biol√≥gicas-Licenciatura e Bacharelado),Departamento de CiÍncias Naturais                                                                                                                                                                                                                             ,2373,2,MARIA CELIA ELIAS SENRA                                                         ,GEOLOGIA GERAL                                                                                                                                                                                                                                            
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Monitoria em Nutri√ß√£o e Sa√∫de Coletiva do curso Integral: contribui√ß√µes para o processo coletivo e cont√≠nuo de ensino-aprendizagem,Departamento de NutriÁ„o em Sa˙de P˙blica                                                                                                                                                                                                                     ,2284,1,MARIA DE LOURDES CARLOS FERREIRINHA RODRIGUES                                   ,NutriÁ„o e Sa˙de Coletiva                                                                                                                                                                                                                                 
BIANCA IZUMI MAEDA                                                              ,Experi√™ncias Emancipadoras no Ensino da Parasitologia,Departamento de Microbiologia e Parasitologia                                                                                                                                                                                                                 ,2238,2,MARIA DO CARMO FERREIRA                                                         ,PARASITOLOGIA                                                                                                                                                                                                                                             
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Monitoria de Qu√≠mica Geral & Inorg√¢nica,Departamento de CiÍncias Naturais                                                                                                                                                                                                                             ,2141,2,MARIA EUGENIA RIBEIRO DE SENA                                                   ,QUÕMICA GERAL E INORG¬NICA                                                                                                                                                                                                                                
BIANCA IZUMI MAEDA                                                              ,Projeto de Monitoria para a Disciplina de Tecnologia de Alimentos,Departamento de Tecnologia dos Alimentos                                                                                                                                                                                                                      ,2155,2,MARIA GABRIELA BELLO KOBLITZ                                                    ,Tecnologia de Alimentos
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Projeto de Monitoria em Nutri√ß√£o Cl√≠nica 1-Integral,Departamento de NutriÁ„o Aplicada                                                                                                                                                                                                                             ,2087,1,MARIA INES BARRETO SILVA CHVAICER                                               ,NutriÁ„o ClÌnica I
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,ESTUDO DA ZOOLOGIA DOS INVERTEBRADOS,Departamento de Zoologia                                                                                                                                                                                                                                      ,2296,1,MARIA INES DA SILVA DOS PASSOS                                                  ,ZOOLOGIA DE INVERTEBRADOS I                                                                                                                                                                                                                               
BIANCA IZUMI MAEDA                                                              ,Produ√ß√£o do Espa√ßo Tur√≠stico na Cidade do Rio de Janeiro: uso da literatura e das imagens na compreens√£o do Patrim√¥nio.,Departamento de Turismo e PatrimÙnio                                                                                                                                                                                                                          ,1893,2,MARIA JAQUELINE ELICHER                                                         ,"PATRIM‘NIO, TURISMO E DESNVOLVIEMTNO SUSTENT¡VEL                                                                                                                                                                                                          "
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,FORMA√É‚Ä°√É∆íO DO ESP√É¬çRITO CIENT√É¬çFICO: contribui√É¬ß√É¬£o da disciplina Metodologia da Pesquisa I no Curso de Gradua√É¬ß√É¬£o em Nutri√É¬ß√É¬£o da UNIRIO (diurno/integral),Departamento de NutriÁ„o Fundamental                                                                                                                                                                                                                          ,2293,1,MARIA LUCIA COSTA DE VASCONCELOS CHAVES                                         ,Metodologia da Pesquisa I
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Proposta de Monitoria em Cl√≠nica M√©dica III,Departamento de Medicina Geral                                                                                                                                                                                                                                ,2219,2,MARIA LUCIA ELIAS PIRES                                                         ,MOD-ENDOCRINOLOGIA E CIRURGIA END”CRINA
