AVALIADOR,TITULO,NOME_UNIDADE,ID_PROJETO,BOLSAS,COORDENADOR,NOME_DISCIPLINA
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Projeto de Monitoria para a Componente Curricular √¢‚Ç¨≈ìF√É¬≠sica Geral√¢‚Ç¨¬ù,Departamento de CiÍncias Naturais                                                                                                                                                                                                                             ,2046,2,ANA M‘NICA FERREIRA DA SILVA NAPOLE RODRIGUES                                   ,FÕSICA GERAL                                                                                                                                                                                                                                              
BIANCA IZUMI MAEDA                                                              ,Fundamentos te√≥ricos e pr√°ticos de Farmacologia para o Curso de Enfermagem,Departamento de CiÍncias FisiolÛgicas                                                                                                                                                                                                                         ,2258,2,ANA PAULA MACHADO DA ROCHA                                                      ,FARMACOLOGIA                                                                                                                                                                                                                                              
BIANCA IZUMI MAEDA                                                              ,Estrat√©gias de Ensino e Aprendizagem de Gen√©tica,Departamento de GenÈtica e Biologia Molecular                                                                                                                                                                                                                 ,2298,2,ANA TERESA NOGUEIRA DUMANS                                                      ,GEN…TICA GERAL                                                                                                                                                                                                                                            
BIANCA IZUMI MAEDA                                                              ,PROJETO DE ENSINO DA DISCIPLINA DE BROMATOLOGIA: EST√çMULO AO DESENVOLVIMENTO REFLEXIVO E AO PENSAMENTO CR√çTICO NA √ÅREA DE ALIMENTOS,Departamento de Tecnologia dos Alimentos                                                                                                                                                                                                                      ,2083,2,ANDERSON JUNGER TEODORO                                                         ,Bromatologia
BIANCA IZUMI MAEDA                                                              ,Monitoria de Pesquisa Operacional I,Departamento de Engenharia de ProduÁ„o                                                                                                                                                                                                                        ,2143,1,ANDREA SOARES BONIFACIO ROSA                                                    ,PESQUISA OPERACIONAL I-PROGRAMA«√O LINEAR
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,M√≠dias e conte√∫dos para apreens√£o da disciplina de introdu√ß√£o √† economia,Departamento de CiÍncias Sociais                                                                                                                                                                                                                              ,2330,1,ANDREIA RIBEIRO AYRES                                                           ,INTRODU«√O ¿ ECONOMIA
ARMANDO PINHEIRO NETO                                                           ,O presidencialismo latino-americano em perspectiva comparada,Departamento de Estudos PolÌticos                                                                                                                                                                                                                             ,1889,2,ANDR… LUIZ COELHO FARIAS DE SOUZA                                               ,POLÕTICA E SOCIEDADE NA AM…RICA LATINA
ARMANDO PINHEIRO NETO                                                           ,Apoio ao Ensino de Estat√≠stica Aplicada √† Educa√ß√£o,Departamento de Did·tica                                                                                                                                                                                                                                      ,1976,2,ANDR…A VIEIRA THEES                                                             ,EstatÌstica aplicada ‡ EducaÁ„o                                                                                                                                                                                                                           
ARMANDO PINHEIRO NETO                                                           ,M√©todos de Ensino Sobre A Composi√ß√£o Celular: Atividade de Fixa√ß√£o Sobre DNA e Pr√°tica de Extra√ß√£o de DNA,Departamento de CiÍncias do Ambiente                                                                                                                                                                                                                          ,2054,2,ANNA CRISTINA NEVES BORGES                                                      ,BIOLOGIA GERAL I
Indispon√≠vel,Filosofia e Mem√≥ria: perspectivas interdisciplinares,Departamento de Filosofia                                                                                                                                                                                                                                     ,1933,1,ANNA HARTMANN CAVALCANTI                                                        ,FILOSOFIA E MEM”RIA
Indispon√≠vel,Atua√ß√£o das For√ßas Armadas na garantia da lei e da ordem interna no Estado Federal: a experi√™ncia do Estado do Rio de Janeiro,Departamento de Direito Positivo                                                                                                                                                                                                                              ,2031,2,ANTONIO CESAR PIMENTEL CALDEIRA                                                 ,DIREITO CONSTITUCIONAL II
